         314666 function calls (311581 primitive calls) in 3.325 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      316    0.001    0.000    0.043    0.000 overrides.py:183(decorator)
      148    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     2401    0.001    0.000    0.004    0.000 {method 'join' of 'str' objects}
   776/33    0.001    0.000    0.662    0.020 <frozen importlib._bootstrap>:1009(_handle_fromlist)
    156/6    0.001    0.000    0.666    0.111 <frozen importlib._bootstrap>:663(_load_unlocked)
     3996    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
   254/85    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        4    0.000    0.000    0.001    0.000 enum.py:135(__new__)
      155    0.000    0.000    0.016    0.000 re.py:271(_compile)
      123    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       13    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       87    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
     1036    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      156    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     1989    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      305    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1527(_guarded_repr_or_str)
      470    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      648    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     1518    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
    164/6    0.001    0.000    0.667    0.111 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
        1    0.000    0.000    0.135    0.135 __init__.py:7(<module>)
      691    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
  156/153    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      329    0.000    0.000    0.000    0.000 functools.py:67(wraps)
       16    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      284    0.000    0.000    0.002    0.000 function_base.py:475(add_newdoc)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
    164/6    0.001    0.000    0.665    0.111 <frozen importlib._bootstrap>:978(_find_and_load)
      470    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      246    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     1362    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      284    0.001    0.000    0.003    0.000 function_base.py:475(add_newdoc)
5080/4857    0.001    0.000    0.001    0.000 {built-in method builtins.len}
   254/85    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
